Breast Cancer Dataset:

- Fisher Score Method:
f1,accuracy,precision,recall,time
0.9259063104075981,0.931516845210371,0.9312100997869784,0.9244605228268838,0.0044629573822021484
0.9449175051734062,0.9490917559385188,0.9503648199107548,0.941328916652369,0.004928970336914062
0.9392061904213886,0.943797546964757,0.9442982368703403,0.9361506246783022,0.004834985733032227
0.9374398104772095,0.9420121099208199,0.9422858891354075,0.93463143200287,0.005644464492797851
0.9300797543641532,0.935010091600683,0.9354138565547878,0.9281033747705874,0.005098390579223633
0.9566565189864338,0.95960254618848,0.9599542854645493,0.955321528655135,0.030950593948364257
0.9637856099226259,0.9666356155876417,0.9701729988018034,0.960109819121447,0.007938909530639648
0.9639876165022075,0.9666200900481291,0.9675704516409713,0.9619636423190304,0.007969856262207031
0.9658278191864895,0.9683900015525537,0.9712810361221695,0.9624354005167959,0.007852649688720703
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.007641983032226562

- LS Method:
f1,accuracy,precision,recall,time
0.8903405897533684,0.8998757956839001,0.9029208803523876,0.8848173017432762,0.004533958435058594
0.9259377502027075,0.9314857941313461,0.9315940995170106,0.9235042685050873,0.004702091217041016
0.942738562836124,0.9473063188945815,0.9491170855730469,0.93986509496254,0.0063533782958984375
0.9353397661044998,0.9402887750349326,0.9428714019113803,0.9313920343768034,0.008135843276977538
0.9431356600612218,0.9473373699736065,0.9481328651971929,0.9408213492843365,0.007776880264282226
0.9567001094909182,0.95960254618848,0.9587933290592865,0.9564243341184054,0.0549260139465332
0.9679466576202387,0.9701288619779536,0.9698420498420498,0.9666148051097281,0.008105707168579102
0.9658612569225378,0.968390001552554,0.9697313700781567,0.9633883403781864,0.009436416625976562
0.9656867859771541,0.9683744760130415,0.9723081735205023,0.960487082702936,0.00812845230102539
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.008238697052001953

- MCFS Method:
f1,accuracy,precision,recall,time
0.9076804570321357,0.915680794907623,0.9200832857975716,0.9030710750289854,0.004976606369018555
0.9367874072440081,0.9420431609998449,0.9425400465279772,0.9345206900316627,0.00447549819946289
0.9311534592829911,0.9367800031051079,0.9381702051702053,0.9265193876436916,0.0054909706115722655
0.9582892112165252,0.9613258810743673,0.9625228489547897,0.9557183540519605,0.0053482532501220705
0.9578943510852673,0.9613103555348548,0.9658280949625528,0.9528170963767097,0.005958700180053711
0.9562977243840056,0.9595870206489675,0.9612861608508514,0.952475641965488,0.007888507843017579
0.9504952590405977,0.9542928116752056,0.9567058155613374,0.9464160284705649,0.009689950942993164
0.9543682571006713,0.9578171091445427,0.9597348141512901,0.9511225622468661,0.009722614288330078
0.957905821323607,0.9613103555348548,0.9649752782665544,0.952927838347917,0.008541011810302734
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.009470653533935548

- ReliefF Method: 
f1,accuracy,precision,recall,time
0.8989412408949053,0.9068933395435492,0.9058927563315098,0.8962340580953422,0.004815435409545899
0.9368171952559354,0.9420121099208199,0.9456538019027029,0.9309042237923666,0.004741954803466797
0.9526808753511297,0.9561248253376805,0.9559821112391444,0.9506312422337644,0.005425786972045899
0.9565199233618504,0.9596180717279925,0.9601987159432948,0.9544206453189421,0.004809141159057617
0.9564391389151027,0.9596180717279925,0.9614068063113548,0.9534481436422151,0.005320882797241211
0.9620250095848322,0.9648812296227295,0.9671594016692133,0.9586655592469546,0.03101935386657715
0.9600212090883516,0.9631113181183046,0.9669193614193613,0.9553479143595422,0.007758617401123047
0.9599722263155541,0.9630957925787922,0.9658422162135162,0.9563008542209328,0.007602548599243164
0.963789109138499,0.9666200900481291,0.9697557734954947,0.960034886320507,0.007794618606567383
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.007214832305908203

- MF-M Method:
f1,accuracy,precision,recall,time
0.8807870209610943,0.8911193913988511,0.8906547448300985,0.8769915357779754,0.004708480834960937
0.9140185601449975,0.9209284272628473,0.9225415445809995,0.9103604833133165,0.005024433135986328
0.9287165238133122,0.9332867567147959,0.9300920851893923,0.9305686834183394,0.0046269893646240234
0.9471224063982902,0.9507840397453812,0.9508836363547726,0.9454725120750342,0.005161571502685547
0.9356983053826948,0.9402732494954199,0.940105496323304,0.9342704157763115,0.005525112152099609
0.9449986336018906,0.9490296537804689,0.9507928409966748,0.9412377364964983,0.008003711700439453
0.952440174450287,0.9560782487191428,0.9599496559543976,0.9477886700045233,0.008557558059692383
0.9597133923950357,0.9630957925787922,0.9677664078836816,0.9542809180665387,0.007984495162963868
0.9580282027345038,0.9613103555348548,0.963869364553575,0.953900340024644,0.008270740509033203
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.007972478866577148

- UDFS Method:
f1,accuracy,precision,recall,time
0.9264284132056264,0.9314702685918336,0.9304591902074739,0.9254167771486802,0.005032110214233399
0.9466568539713297,0.9508150908244062,0.9536500588501309,0.9418006748501344,0.005103158950805664
0.9465072111381939,0.9507840397453812,0.9546354153196258,0.9405708800607261,0.005513572692871093
0.9504984293413749,0.9542928116752056,0.9570273657115763,0.9453881558082344,0.0059125423431396484
0.9445537739909333,0.9490296537804689,0.9536229390062978,0.9384667826077916,0.005619525909423828
0.958086051285506,0.9613569321533924,0.9648066373713278,0.953002771148857,0.007522869110107422
0.9542227270195841,0.9578171091445427,0.9622761354031377,0.9492329298790156,0.008475255966186524
0.9618397178895066,0.9648657040832169,0.9694357515410147,0.9567921742340347,0.010516071319580078
0.9619030761795321,0.9648501785437043,0.9677453114576403,0.9577093049251582,0.008600282669067382
