f1,accuracy,precision,recall,time
0.5137106785370225,0.5333333333333333,0.5191136717426637,0.5225000000000001,0.018004989624023436
0.6430371568293332,0.6518518518518519,0.6512234327264753,0.6441666666666667,0.018004989624023436
0.6687691253346933,0.6777777777777777,0.6734597020626432,0.6683333333333332,0.018004989624023436
0.7833802995313187,0.788888888888889,0.7915809849619159,0.7816666666666666,0.018004989624023436
0.7882067224930732,0.7925925925925926,0.7949318148311957,0.7875,0.018004989624023436
0.8144516141969185,0.8185185185185185,0.8196159874608151,0.8125,0.018004989624023436
0.7967181280333201,0.8,0.7982834215223766,0.7958333333333334,0.018004989624023436
0.8342699538750058,0.837037037037037,0.8369292991491267,0.8333333333333334,0.018004989624023436
0.8151651099683106,0.8185185185185185,0.8188897533041993,0.8141666666666666,0.018004989624023436
0.8113314830261966,0.8148148148148147,0.8141447189118913,0.8108333333333333,0.018004989624023436
