f1,accuracy,precision,recall,time
0.5699063113495242,0.5777777777777777,0.5715436124184372,0.57,0.0015981197357177734
0.6438299974632609,0.6518518518518519,0.653773124494807,0.6433333333333333,0.0015981197357177734
0.6669335283579139,0.6777777777777778,0.6773422539828657,0.6666666666666667,0.0015981197357177734
0.7046650912405055,0.7185185185185186,0.7230100955546002,0.7041666666666666,0.0015981197357177734
0.7499364907980638,0.7555555555555555,0.7565663117854562,0.7483333333333334,0.0015981197357177734
0.7969139976243371,0.8037037037037036,0.8152186984818288,0.7933333333333333,0.0015981197357177734
0.8057689643826723,0.8111111111111111,0.8144853101531593,0.8041666666666666,0.0015981197357177734
0.8261904761904761,0.8296296296296297,0.8294805194805195,0.825,0.0015981197357177734
0.8192139980293828,0.8222222222222222,0.8203836206896552,0.8191666666666666,0.0015981197357177734
0.8113314830261966,0.8148148148148147,0.8141447189118913,0.8108333333333333,0.0015981197357177734
