f1,accuracy,precision,recall,time
0.34725274725274724,0.5333333333333334,0.2666666666666667,0.5,0.0032059192657470704
0.49821492461027345,0.5814814814814815,0.4895377911384009,0.57,0.0034043312072753905
0.5581073934699686,0.625925925925926,0.6046609737012213,0.6066666666666667,0.0031004905700683593
0.7480329524091,0.7518518518518519,0.7533673289036253,0.75,0.0030016422271728514
0.724172294313453,0.7259259259259259,0.725705619412516,0.7275,0.0027549266815185547
0.788416593294227,0.7925925925925926,0.7935007441995314,0.7875,0.0030669212341308595
0.7886975094902506,0.7925925925925925,0.7919540644540645,0.7883333333333333,0.0030288219451904295
0.7992243822267027,0.8037037037037036,0.803090391120022,0.7983333333333333,0.003001499176025391
0.8151881362002543,0.8185185185185185,0.8175355600836267,0.8150000000000001,0.003203678131103516
0.8113314830261966,0.8148148148148147,0.8141447189118913,0.8108333333333333,0.0035217761993408202
