f1,accuracy,precision,recall,time
0.450961249217266,0.5592592592592593,0.41141008655714534,0.5541666666666666,0.002660989761352539
0.5925402534652648,0.6370370370370371,0.6457020609670872,0.6216666666666667,0.0029987812042236326
0.5008731243147575,0.5703703703703704,0.5464083611142434,0.5441666666666667,0.002951955795288086
0.7278051115551116,0.7333333333333333,0.7336184403831462,0.7275,0.0029456615447998047
0.7467775031831382,0.7518518518518518,0.7504455860715658,0.7466666666666668,0.003462409973144531
0.7579716411955313,0.7629629629629628,0.7639118234706469,0.7566666666666667,0.0027456283569335938
0.7927883051561777,0.7962962962962962,0.7963886113886114,0.7916666666666667,0.002998208999633789
0.7958363157203252,0.8,0.7993427353936233,0.7958333333333334,0.0030852794647216798
0.8039785333757747,0.8074074074074075,0.8057147379389484,0.8033333333333333,0.0034152507781982423
0.8113314830261966,0.8148148148148147,0.8141447189118913,0.8108333333333333,0.002815103530883789
