f1,accuracy,precision,recall,time
0.10504584442472642,0.4257142857142857,0.07510204081632654,0.17619047619047618,0.002187013626098633
0.35740627253232293,0.6433333333333333,0.35653061224489796,0.4134920634920635,0.0026268959045410156
0.4150802139037433,0.6933333333333334,0.39922902494331064,0.4742063492063493,0.0021463871002197266
0.4936701145104506,0.7328571428571429,0.4852380952380952,0.5325396825396825,0.0018677234649658204
0.5824489795918367,0.8128571428571428,0.5803174603174603,0.630952380952381,0.0025087833404541016
0.6978155706727136,0.8523809523809524,0.702687074829932,0.7261904761904763,0.002640104293823242
0.7884051398337112,0.9204761904761904,0.7947619047619048,0.8071428571428572,0.001802539825439453
0.8486167800453515,0.940952380952381,0.8561904761904762,0.869047619047619,0.0020926475524902345
0.8454421768707483,0.9504761904761905,0.8379365079365078,0.869047619047619,0.001903676986694336
0.8513945578231292,0.931904761904762,0.8522222222222222,0.8769841269841269,0.0049002647399902345
