f1,accuracy,precision,recall,time
0.2277167277167277,0.5647619047619048,0.19369747899159662,0.29523809523809524,0.001900625228881836
0.4866639989329065,0.8119047619047619,0.4432539682539682,0.5619047619047619,0.002740812301635742
0.6185034013605442,0.8719047619047618,0.5952380952380951,0.6714285714285715,0.0024040699005126952
0.72,0.9114285714285716,0.7190476190476189,0.7571428571428571,0.0026045799255371093
0.7423529411764707,0.9109523809523811,0.7555555555555556,0.7714285714285715,0.0022025108337402344
0.8440336134453782,0.940952380952381,0.8634920634920634,0.8571428571428571,0.0020261764526367187
0.8844337735094039,0.9604761904761905,0.8834391534391534,0.8976190476190476,0.0019713878631591798
0.8649519807923168,0.930952380952381,0.8728571428571428,0.8769841269841269,0.002401304244995117
0.8116186474589835,0.9119047619047619,0.8204761904761904,0.834126984126984,0.0019412994384765624
0.8513945578231292,0.931904761904762,0.8522222222222222,0.8769841269841269,0.0046966552734375
