f1,accuracy,precision,recall,time
0.7987745119331929,0.8261569416498993,0.8322298863991497,0.7926324786324785,0.004101943969726562
0.8284459982352006,0.848933601609658,0.8543601386573523,0.8158974358974358,0.004101943969726562
0.8000488061790385,0.8317102615694164,0.8473924191750278,0.7862564102564104,0.004101943969726562
0.7804440647952237,0.8204828973843059,0.856613263173608,0.7621367521367521,0.004101943969726562
0.8306752189615176,0.85476861167002,0.8713025813284089,0.8135384615384617,0.004101943969726562
0.8170797848459512,0.848933601609658,0.8850309114138778,0.7964957264957264,0.004101943969726562
0.8130574811720797,0.8460764587525151,0.8827931714541621,0.7924957264957264,0.004101943969726562
0.808949440326499,0.8432997987927566,0.881805629068787,0.7888034188034189,0.004101943969726562
0.8202941439589779,0.8518309859154929,0.8888093318544448,0.8006495726495727,0.004101943969726562
0.7991880808395597,0.8347686116700201,0.8718034937771779,0.7787350427350427,0.004101943969726562
