f1,accuracy,precision,recall,time
0.6287185579802212,0.6390476190476191,0.6511332349567645,0.6452861952861954,0.014498567581176758
0.7081076418819915,0.7012698412698413,0.721041921041921,0.7113949013949015,0.014498567581176758
0.8737153593907585,0.8706349206349205,0.8808197358197358,0.8748388648388647,0.014498567581176758
0.9470022408413212,0.9438095238095237,0.9506959706959707,0.946984126984127,0.014498567581176758
0.9183417686868067,0.9153968253968253,0.9240136715136715,0.9261904761904762,0.014498567581176758
0.9451895421018228,0.943968253968254,0.9451925851925852,0.9515873015873015,0.014498567581176758
0.9618191347314156,0.9606349206349206,0.9621645021645022,0.9666666666666668,0.014498567581176758
0.9562816598606073,0.9552380952380952,0.9563813963813963,0.961904761904762,0.014498567581176758
0.9560418996208471,0.954920634920635,0.9553712953712955,0.9625396825396827,0.014498567581176758
0.9721091923245584,0.9717460317460318,0.9703496503496505,0.9765079365079365,0.014498567581176758
