f1,accuracy,precision,recall,time
0.49595088539581367,0.49653846153846154,0.4965126924329983,0.49653846153846154,0.03037710189819336
0.5118691867320506,0.5123076923076922,0.5123145621348785,0.5123076923076922,0.029976511001586915
0.5050463484624317,0.5119230769230769,0.5125168332166262,0.5119230769230769,0.029982852935791015
0.5124256785403052,0.5153846153846153,0.5155371815061867,0.5153846153846154,0.031231403350830078
0.5338577386167966,0.5396153846153846,0.5417388115550242,0.5396153846153846,0.042644405364990236
0.5461376067329465,0.55,0.5516837391123159,0.55,0.0340235710144043
0.5365507025869989,0.5403846153846155,0.5417715688555252,0.5403846153846155,0.0398709774017334
0.5121391696731108,0.5149999999999999,0.5152205903694025,0.5149999999999999,0.037738895416259764
0.5311393117301535,0.5342307692307692,0.5351583935349047,0.5342307692307692,0.038535451889038085
0.6369424562589732,0.6396153846153847,0.6437597963594339,0.6396153846153846,0.038999414443969725
