f1,accuracy,precision,recall,time
0.8669433510646047,0.8770066759819903,0.8755661002247164,0.8636194427547196,0.008402585983276367
0.8913763229207439,0.8997360658282876,0.8992072769665649,0.8875295701859738,0.008402585983276367
0.9190599854539686,0.9261760596180716,0.9335858916143469,0.9107283234289458,0.008402585983276367
0.9361281696280883,0.9420431609998445,0.9512348740682073,0.9270695880710621,0.008402585983276367
0.9426135988464489,0.9472752678155565,0.9513276434329067,0.935900155454692,0.008402585983276367
0.9542742857209354,0.9578171091445429,0.9600345923510144,0.9500197567835956,0.008402585983276367
0.9560117937814443,0.9595559695699425,0.9628927252113936,0.951428207487821,0.008402585983276367
0.9618220523320469,0.9648501785437045,0.9684764942162154,0.9576539339395547,0.008402585983276367
0.9580654139703686,0.9613258810743673,0.9646113030323556,0.9539394636553171,0.008402585983276367
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.008402585983276367
