f1,accuracy,precision,recall,time
0.9264284132056264,0.9314702685918336,0.9304591902074739,0.9254167771486802,0.005032110214233399
0.9466568539713297,0.9508150908244062,0.9536500588501309,0.9418006748501344,0.005103158950805664
0.9465072111381939,0.9507840397453812,0.9546354153196258,0.9405708800607261,0.005513572692871093
0.9504984293413749,0.9542928116752056,0.9570273657115763,0.9453881558082344,0.0059125423431396484
0.9445537739909333,0.9490296537804689,0.9536229390062978,0.9384667826077916,0.005619525909423828
0.958086051285506,0.9613569321533924,0.9648066373713278,0.953002771148857,0.007522869110107422
0.9542227270195841,0.9578171091445427,0.9622761354031377,0.9492329298790156,0.008475255966186524
0.9618397178895066,0.9648657040832169,0.9694357515410147,0.9567921742340347,0.010516071319580078
0.9619030761795321,0.9648501785437043,0.9677453114576403,0.9577093049251582,0.008600282669067382
0.9636281464987426,0.9666045645086166,0.9715920124096045,0.95812569213732,0.008786725997924804
