f1,accuracy,precision,recall,time
0.8167545521365268,0.8171271929824562,0.8206961606047963,0.8254986035934035,0.007597589492797851
0.8015054383230389,0.8026096491228071,0.8148445141451293,0.8122566027996309,0.007605981826782226
0.8504546273373126,0.8508114035087718,0.8570051113746722,0.8601804980313954,0.008830595016479491
0.8586704935542018,0.8591666666666666,0.8618277980742599,0.8665065729722885,0.008036088943481446
0.8526726916504419,0.8529605263157893,0.8586507100542585,0.8626313316143044,0.008465766906738281
0.8566138858739164,0.8570833333333333,0.8601229912681111,0.8647359245380415,0.007910680770874024
0.8732047228980372,0.8739692982456141,0.8756953405239845,0.8797835143670394,0.007624006271362305
0.8644254736457884,0.8655043859649123,0.8666537886931739,0.8695214476852765,0.008086252212524413
0.8585541438555921,0.8592105263157894,0.8618452430703819,0.8661403662554145,0.0076540946960449215
0.8964029901905131,0.8970175438596492,0.8966452699562624,0.902270286853812,0.009244537353515625
